Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,BodyStyle,Segment,PriceEuro
Tesla ,Roadster ,2.1,410,970,178,920,Yes,AWD,Cabrio,S,215000
Fiat ,500e Convertible,9,150,250,178,330,Yes,FWD,Cabrio,B,37900
Smart ,EQ fortwo cabrio,11.9,130,95,178,-,No,RWD,Cabrio,A,24565
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,178,500,Yes,AWD,Hatchback,C,57500
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,178,440,Yes,AWD,Hatchback,C,50000
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,178,450,Yes,AWD,Hatchback,C,65000
Fiat ,500e Hatchback,9,150,250,178,330,Yes,FWD,Hatchback,B,34900
Mini ,Cooper SE ,7.3,150,185,156,260,Yes,FWD,Hatchback,B,31681
Nissan ,Leaf ,7.9,144,220,164,230,Yes,FWD,Hatchback,C,29234
Nissan ,Leaf e+,7.3,157,325,178,390,Yes,FWD,Hatchback,C,37237
Nissan ,Ariya 87kWh,7.6,160,440,178,520,Yes,FWD,Hatchback,C,50000
Nissan ,Ariya 63kWh,7.5,160,330,178,440,Yes,FWD,Hatchback,C,45000
Opel ,Corsa-e ,8.1,150,275,164,420,Yes,FWD,Hatchback,B,29146
Peugeot ,e-208 ,8.1,150,275,164,420,Yes,FWD,Hatchback,B,29682
Renault ,Zoe ZE50 R110,11.4,135,315,165,230,Yes,FWD,Hatchback,B,31184
Renault ,Zoe ZE50 R135,9.5,140,310,178,230,Yes,FWD,Hatchback,B,33133
Renault ,Zoe ZE40 R110,11.4,135,255,178,230,Yes,FWD,Hatchback,B,29234
SEAT ,Mii Electric ,12.3,130,195,178,170,Yes,FWD,Hatchback,A,20129
Skoda ,CITIGOe iV ,12.3,130,195,178,170,Yes,FWD,Hatchback,A,24534
Sono ,Sion ,9,140,225,178,270,Yes,FWD,Hatchback,C,25500
Volkswagen ,e-Golf ,9.6,150,190,168,220,Yes,FWD,Hatchback,C,31900
Volkswagen ,e-Up! ,11.9,130,195,166,170,Yes,FWD,Hatchback,A,21421
BMW ,i3 120 Ah,7.3,150,235,161,270,Yes,RWD,Hatchback,B,38017
BMW ,i3s 120 Ah,6.9,160,230,178,260,Yes,RWD,Hatchback,B,41526
CUPRA ,el-Born ,6.5,160,425,178,570,Yes,RWD,Hatchback,C,45000
Honda ,e ,9.5,145,170,168,190,Yes,RWD,Hatchback,B,32997
Honda ,e Advance,8.3,145,170,178,190,Yes,RWD,Hatchback,B,35921
Renault ,Twingo ZE,12.6,135,130,178,-,No,RWD,Hatchback,A,24790
Smart ,EQ forfour ,12.7,130,95,178,-,No,RWD,Hatchback,A,22030
Smart ,EQ fortwo coupe,11.6,130,100,178,-,No,RWD,Hatchback,A,21387
Volkswagen ,ID.3 Pure,10,160,270,167,250,Yes,RWD,Hatchback,C,30000
Volkswagen ,ID.3 Pro S,7.9,160,440,175,590,Yes,RWD,Hatchback,C,40936
Volkswagen ,ID.3 Pro,9,160,350,166,490,Yes,RWD,Hatchback,C,33000
Volkswagen ,ID.3 1st,7.3,160,340,178,470,Yes,RWD,Hatchback,C,38987
Volkswagen ,ID.3 Pro Performance,7.3,160,340,178,470,Yes,RWD,Hatchback,C,35575
Lightyear ,One ,10,150,575,178,540,Yes,AWD,Liftback,F,149000
Polestar ,2,4.7,210,400,181,620,Yes,AWD,Liftback,D,56440
Tesla ,Model S Long Range,3.8,250,515,178,560,Yes,AWD,Liftback,F,79990
Tesla ,Model S Performance,2.5,261,505,178,550,Yes,AWD,Liftback,F,96990
Hyundai ,IONIQ Electric,9.7,165,250,153,210,Yes,FWD,Liftback,C,34459
Opel ,Ampera-e ,7.3,150,335,178,210,Yes,FWD,MPV,B,41906
Tesla ,Cybertruck Tri Motor,3,210,750,267,710,Yes,AWD,Pickup,N,75000
Tesla ,Cybertruck Dual Motor,5,190,460,178,710,Yes,AWD,Pickup,N,55000
Tesla ,Cybertruck Single Motor,7,180,390,178,740,Yes,RWD,Pickup,N,45000
Audi ,e-tron GT ,3.5,240,425,197,850,Yes,AWD,Sedan,F,125000
Lucid ,Air ,2.8,250,610,180,620,Yes,AWD,Sedan,F,105000
Porsche ,Taycan Turbo S,2.8,260,375,223,780,Yes,AWD,Sedan,F,180781
Porsche ,Taycan 4S,4,250,365,178,730,Yes,AWD,Sedan,F,102945
Porsche ,Taycan 4S Plus,4,250,425,178,890,Yes,AWD,Sedan,F,109302
Porsche ,Taycan Turbo,3.2,260,390,178,810,Yes,AWD,Sedan,F,148301
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Yes,AWD,Sedan,D,55480
